"State","Drunk_Driving","Seatbelt","Pneumonia_Vaccine","Flu_Shot","Maximum_Alcohol","Average_Alcohol","Smoker","BMI","Diabetes","Kidney_Disease","COPD","Asthma","Stroke","Heart_Disease","Heart_Attack","Excercise","Medical_Cost","Poor_Health","Mental_Health","Physical_Health","General_Health","Margin","Gov_Male","Gov_Rep"
"GA",0.0191082802547771,1.15650684931507,0.544299329332863,0.460074753652735,6.29116279069767,3.61992619926199,0.402372881355932,28.3691453073047,0.254856766545933,0.0593080724876442,0.121212121212121,0.129191321499014,0.058862216376192,0.0842454394693201,0.0836640211640212,0.692636423405654,0.0978011158516574,8.89500640204866,4.63600525624179,7.28355759763702,2.75871137409599,0.0532234519860643,TRUE,TRUE
"HI",0.044392523364486,1.08607741190064,0.518987341772152,0.453341013824885,4.58830409356725,3.29521586931155,0.433390508862207,26.2183538909507,0.202234636871508,0.0431131019036954,0.0776536312849162,0.151870463428252,0.0457334076965979,0.062780269058296,0.0599775784753363,0.800334634690463,0.0435267857142857,6.13393870601589,3.10837988826816,4.61328125,2.57063093243998,-0.348826749010709,TRUE,FALSE
"IA",0.0456663560111836,1.21214868540345,0.562823529411765,0.526576576576577,4.23264540337711,2.76212686567164,0.403863432165319,28.4271681777502,0.172309027777778,0.038695652173913,0.0841692106410816,0.0979965156794425,0.0490664350846722,0.0744960560911481,0.0719267654751526,0.725413402959095,0.0448020878642888,6.61628959276018,3.40479302832244,5.4819329560296,2.5845284658844,0.101270956902407,FALSE,TRUE
"ID",0.0451866404715128,1.34465617232809,0.55935098206661,0.48019801980198,3.70775347912525,2.22287968441815,0.418585526315789,27.7463681989545,0.179820992676973,0.0527169505271695,0.0934199837530463,0.132520325203252,0.0577235772357724,0.0773026315789474,0.0928338762214984,0.751818916734034,0.0633631194151097,8.78988941548183,3.78229082047116,6.51539708265802,2.6677471636953,0.366203533616112,TRUE,TRUE
"IL",0.140625,1.20373376623377,0.54242928452579,0.497584541062802,3.45754716981132,2.23667711598746,0.417731629392971,28.2626637885519,0.161214953271028,0.0521806853582555,0.110850897736144,0.122464898595944,0.0576773187840998,0.0807210031347962,0.0749414519906323,0.716510903426791,0.058411214953271,5.66029411764706,3.04293520686963,5.52611067809821,2.62645914396887,-0.18040102781423,TRUE,FALSE
"IN",0.0998573466476462,1.20078629598427,0.562753036437247,0.421008403361345,5.1529933481153,3.45414526779164,0.43930155210643,28.4386408677527,0.225952571276312,0.0577231427044361,0.141059957173448,0.134846461949266,0.0694629975955116,0.0879505110274341,0.0847593582887701,0.66497867803838,0.061415220293725,7.85289431757833,4.44408774745853,7.01874163319946,2.7830037413148,0.202346190490161,TRUE,TRUE
"KS",0.0359457866823807,1.24312049158429,0.591995553085047,0.515321076472156,3.918013165769,2.42482100238664,0.429064824654623,28.3100433842573,0.203665987780041,0.0506782697722037,0.100715746421268,0.125510204081633,0.0535987748851455,0.0897138437741686,0.0830564784053156,0.729702214303894,0.049171974522293,6.74960042621204,3.62168367346939,6.33910386965377,2.635183299389,0.222229406852133,FALSE,FALSE
"KY",0.0669240669240669,1.26224489795918,0.543612637362637,0.485714285714286,5.87712418300654,3.70428015564202,0.496821679491469,29.123833674029,0.262536873156342,0.0660749506903353,0.178677196446199,0.155562848703643,0.0701409373975746,0.106824925816024,0.0998681608437706,0.601833660772757,0.0901048492791612,8.5291095890411,5.28295081967213,8.72107505735824,3.01540478531629,0.313412580350197,TRUE,FALSE
"LA",0.032171581769437,1.0847280334728,0.559485530546624,0.387966804979253,5.28610354223433,3.41509433962264,0.411340206185567,29.0917678949457,0.256663376110563,0.0741106719367589,0.123138033763654,0.128205128205128,0.0759368836291913,0.11044776119403,0.0803571428571429,0.649261083743842,0.0722057368941642,8.16064981949459,4.80059230009872,7.85657764589515,2.85629335976214,0.203433544756156,TRUE,FALSE
"MA",0.0713765477057538,1.23166368515206,0.579097387173397,0.501554864504665,4.09653092006033,2.98116051243406,0.466666666666667,27.4069577908674,0.161234245980009,0.0497165285651984,0.084679179397643,0.145915246832678,0.0447826086956522,0.0709592641261498,0.0713347921225383,0.735652173913043,0.0396514161220044,6.62673186634067,4.04551422319475,6.06687062937063,2.53115468409586,-0.29302557379259,TRUE,TRUE
